x,R,T1,T2,T3,T4,T5,speed,env_T,env_hum,set_T1,set_T2,set_T3,set_T4,set_T5,piece,position,time,ok
0.54,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,1,2017/11/25 13:19,1
0.563,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,2,2017/11/25 13:19,1
0.561,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,3,2017/11/25 13:19,1
0.571,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,4,2017/11/25 13:19,1
0.581,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,5,2017/11/25 13:19,1
0.573,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,1,6,2017/11/25 13:19,1
0.566,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,1,2017/11/25 13:19,1
0.565,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,2,2017/11/25 13:19,1
0.571,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,3,2017/11/25 13:19,1
0.56,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,4,2017/11/25 13:19,1
0.541,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,5,2017/11/25 13:19,1
0.562,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,2,6,2017/11/25 13:19,1
0.58,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,1,2017/11/25 13:19,1
0.572,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,2,2017/11/25 13:19,1
0.547,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,3,2017/11/25 13:19,1
0.562,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,4,2017/11/25 13:19,1
0.53,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,5,2017/11/25 13:19,1
0.558,,630,735,722,621,453,22.38,26,15,630,735,722,621,500,3,6,2017/11/25 13:19,1
0.562,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,1,2017/11/25 13:44,1
0.559,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,2,2017/11/25 13:44,1
0.559,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,3,2017/11/25 13:44,1
0.575,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,4,2017/11/25 13:44,1
0.561,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,5,2017/11/25 13:44,1
0.575,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,1,6,2017/11/25 13:44,1
0.569,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,1,2017/11/25 13:44,1
0.554,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,2,2017/11/25 13:44,1
0.548,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,3,2017/11/25 13:44,1
0.564,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,4,2017/11/25 13:44,1
0.539,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,5,2017/11/25 13:44,1
0.57,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,2,6,2017/11/25 13:44,1
0.574,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,1,2017/11/25 13:44,1
0.572,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,2,2017/11/25 13:44,1
0.553,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,3,2017/11/25 13:44,1
0.564,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,4,2017/11/25 13:44,1
0.545,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,5,2017/11/25 13:44,1
0.56,,620,735,722,621,454,22.38,26,14,620,735,722,621,500,3,6,2017/11/25 13:44,1
